node,coord0,coord1,aggregate
0,0,0,18
1,0.5,0,82
2,0.154508,0.475529,169
3,-0.404508,0.293893,142
4,-0.404508,-0.293893,65
5,0.154508,-0.475529,90
6,0.654509,0.475529,42
7,-0.25,0.769421,14
8,-0.809016,0,59
9,-0.25,-0.76942,107
10,0.654509,-0.475529,19
11,0.25,0,87
12,0.577255,0.237764,42
13,0.404508,0.475529,127
14,0.077254,0.237764,18
15,-0.047746,0.622475,3
16,-0.327254,0.531657,14
17,-0.202254,0.146947,71
18,-0.606762,0.146947,13
19,-0.606762,-0.146947,54
20,-0.202254,-0.146947,48
21,-0.327254,-0.531656,140
22,-0.047746,-0.622475,107
23,0.077254,-0.237764,87
24,0.404508,-0.475529,83
25,0.577255,-0.237764,35
26,0.75,0,109
27,0.904509,0.475529,28
28,0.731764,0.713293,119
29,0.231762,0.713293,50
30,-0.172746,1.00719,105
31,-0.452254,0.916365,11
32,-0.606762,0.440839,36
33,-1.01127,0.146947,148
34,-1.01127,-0.146946,108
35,-0.606762,-0.440839,106
36,-0.452254,-0.916365,161
37,-0.172746,-1.00718,69
38,0.231762,-0.713293,39
39,0.731764,-0.713293,58
40,0.904509,-0.475529,104
41,0.327254,0.237764,62
42,-0.125,0.384711,3
43,-0.404508,0,37
44,-0.125,-0.38471,150
45,0.327254,-0.237764,171
46,0.827255,0.237764,28
47,0.981765,0.713293,132
48,0.481763,0.713293,185
49,0.0295084,0.860239,124
50,-0.375,1.15413,174
51,-0.529508,0.678602,36
52,-0.809015,0.293893,2
53,-1.21352,0.00000025,89
54,-0.809015,-0.293893,114
55,-0.529508,-0.678602,140
56,-0.375,-1.15413,100
57,0.0295084,-0.860239,84
58,0.481763,-0.713293,122
59,0.981765,-0.713293,131
60,0.827255,-0.237764,75
61,0.125,0,27
62,0.288627,0.118882,62
63,0.202254,0.237764,67
64,0.038627,0.118882,18
65,0.375,0,113
66,0.538627,0.118882,82
67,0.452254,0.237764,56
68,0.615882,0.356647,42
69,0.529509,0.475529,56
70,0.365881,0.356647,127
71,0.279508,0.475529,57
72,0.115881,0.356647,169
73,-0.023873,0.311238,181
74,-0.163627,0.265829,71
75,-0.101127,0.0734733,31
76,0.053381,0.549002,23
77,-0.086373,0.503593,3
78,-0.148873,0.695948,0
79,-0.288627,0.650539,14
80,-0.226127,0.458184,137
81,-0.365881,0.412775,142
82,-0.303381,0.22042,137
83,-0.303381,0.0734733,71
84,-0.303381,-0.0734733,53
85,-0.101127,-0.0734733,143
86,-0.505635,0.22042,13
